context_label,target_prompt_tokens,case,prompt_tokens,completion_tokens,tpot_ms_mean_raw,tpot_ms_median,tpot_ms_trimmed_10pct,ttft_s,elapsed_s
1k,1024,default,1026,64,156.272,154.248,154.544,4.297,14.1494
1k,1024,fused_metal,1026,64,60.134,58.859,58.941,4.5853,8.38
2k,2048,default,2048,64,165.048,159.782,161.177,8.4589,18.8656
2k,2048,fused_metal,2048,64,63.872,63.751,63.679,9.0548,13.0874
4k,4096,default,4106,64,165.555,161.644,162.026,19.1111,29.5501
4k,4096,fused_metal,4106,64,66.871,62.393,62.825,19.6177,23.838
8k,8192,default,8194,64,179.584,169.461,172.346,40.2524,51.5766
8k,8192,fused_metal,8194,64,70.841,63.906,63.901,40.93,45.3999
16k,16384,default,16384,64,196.144,181.088,182.68,99.5469,111.9143
16k,16384,fused_metal,16384,64,71.602,70.6,70.614,128.9043,133.4227
32k,32768,default,32778,64,252.21,236.088,240.615,346.0774,361.9775
32k,32768,fused_metal,32778,64,311.656,83.232,83.296,368.4192,388.0626
64k,65536,default,65538,51,343.398,320.386,331.31,1120.7797,1137.9654
64k,65536,fused_metal,65538,51,109.859,108.49,108.483,1194.8002,1200.3051
